ncbi_gene_id,gene_symbol,association_type,disease_id
64170,CARD9,MENDELIAN,OMIM:212050
51256,TBC1D7,MENDELIAN,OMIM:248000
28981,IFT81,MENDELIAN,OMIM:617895
8216,LZTR1,MENDELIAN,OMIM:616564
6505,SLC1A1,POLYGENIC,OMIM:615232
5949,RBP3,MENDELIAN,OMIM:615233
583,BBS2,MENDELIAN,OMIM:616562
4750,NEK1,POLYGENIC,OMIM:617892
51569,UFM1,MENDELIAN,OMIM:617899
392255,GDF6,MENDELIAN,OMIM:617898
79827,CLMP,MENDELIAN,OMIM:615237
134701,RIPPLY2,MENDELIAN,OMIM:616566
55240,STEAP3,MENDELIAN,OMIM:615234
3910,LAMA4,MENDELIAN,OMIM:615235
63924,CIDEC,MENDELIAN,OMIM:615238
6892,TAPBP,MENDELIAN,OMIM:604571
6890,TAP1,MENDELIAN,OMIM:604571
6891,TAP2,MENDELIAN,OMIM:604571
7068,THRB,MENDELIAN,OMIM:274300
51099,ABHD5,MENDELIAN,OMIM:275630
2731,GLDC,MENDELIAN,OMIM:605899
2778,GNAS,MENDELIAN,OMIM:603233
149775,GNAS-AS1,MENDELIAN,OMIM:603233
8675,STX16,MENDELIAN,OMIM:603233
54714,CNGB3,MENDELIAN,OMIM:262300
2073,ERCC5,MENDELIAN,OMIM:616570
396,ARHGDIA,MENDELIAN,OMIM:615244
201163,FLCN,MENDELIAN,OMIM:173600
283489,CHAMP1,MENDELIAN,OMIM:616579
84665,MYPN,MENDELIAN,OMIM:615248
166378,AFG2A,MENDELIAN,OMIM:616577
4790,NFKB1,MENDELIAN,OMIM:616576
84197,POMK,MENDELIAN,OMIM:615249
81846,SBF2,MENDELIAN,OMIM:604563
54795,TRPM4,MENDELIAN,OMIM:604559
1369,CPN1,MENDELIAN,OMIM:212070
3190,HNRNPK,MENDELIAN,OMIM:616580
5832,ALDH18A1,MENDELIAN,OMIM:616586
657,BMPR1A,MENDELIAN,OMIM:174900
4089,SMAD4,MENDELIAN,OMIM:174900
1280,COL2A1,MENDELIAN,OMIM:616583
54567,DLL4,MENDELIAN,OMIM:616589
2261,FGFR3,MENDELIAN,OMIM:146000
7436,VLDLR,MENDELIAN,OMIM:224050
200942,KLHDC8B,POLYGENIC,OMIM:236000
