hpo_id,hpo_name,ncbi_gene_id,gene_symbol
HP:0009121,Abnormal axial skeleton morphology,5428,POLG
HP:0009121,Abnormal axial skeleton morphology,729920,CRPPA
HP:0009121,Abnormal axial skeleton morphology,729920,CRPPA
HP:0009121,Abnormal axial skeleton morphology,6443,SGCB
HP:0009121,Abnormal axial skeleton morphology,2992,GYG1
HP:0009121,Abnormal axial skeleton morphology,6263,RYR3
HP:0009121,Abnormal axial skeleton morphology,25778,DSTYK
HP:0009121,Abnormal axial skeleton morphology,2673,GFPT1
HP:0009121,Abnormal axial skeleton morphology,1798,DPAGT1
HP:0009121,Abnormal axial skeleton morphology,85365,ALG2
HP:0009121,Abnormal axial skeleton morphology,85365,ALG2
HP:0009121,Abnormal axial skeleton morphology,199857,ALG14
HP:0009121,Abnormal axial skeleton morphology,10059,DNM1L
HP:0009121,Abnormal axial skeleton morphology,4976,OPA1
HP:0009121,Abnormal axial skeleton morphology,6444,SGCD
HP:0009121,Abnormal axial skeleton morphology,6444,SGCD
HP:0009121,Abnormal axial skeleton morphology,2483,FRG1
HP:0009121,Abnormal axial skeleton morphology,729359,PLIN4
HP:0009121,Abnormal axial skeleton morphology,23347,SMCHD1
HP:0009121,Abnormal axial skeleton morphology,8878,SQSTM1
HP:0009121,Abnormal axial skeleton morphology,64856,VWA1
HP:0009121,Abnormal axial skeleton morphology,311,ANXA11
HP:0009121,Abnormal axial skeleton morphology,3759,KCNJ2
HP:0009121,Abnormal axial skeleton morphology,10558,SPTLC1
HP:0009121,Abnormal axial skeleton morphology,4620,MYH2
HP:0009121,Abnormal axial skeleton morphology,80324,PUS1
HP:0009121,Abnormal axial skeleton morphology,83636,C19orf12
HP:0009121,Abnormal axial skeleton morphology,4747,NEFL
HP:0009121,Abnormal axial skeleton morphology,6445,SGCG
HP:0009121,Abnormal axial skeleton morphology,55791,LRIF1
HP:0009121,Abnormal axial skeleton morphology,163175,LGI4
HP:0009121,Abnormal axial skeleton morphology,8292,COLQ
HP:0009121,Abnormal axial skeleton morphology,3913,LAMB2
HP:0009121,Abnormal axial skeleton morphology,11117,EMILIN1
HP:0009121,Abnormal axial skeleton morphology,56983,POGLUT1
HP:0009121,Abnormal axial skeleton morphology,23676,SMPX
HP:0009121,Abnormal axial skeleton morphology,56652,TWNK
HP:0009121,Abnormal axial skeleton morphology,203859,ANO5
HP:0009121,Abnormal axial skeleton morphology,3166,HMX1
HP:0009121,Abnormal axial skeleton morphology,1290,COL5A2
HP:0009121,Abnormal axial skeleton morphology,375,ARF1
HP:0009121,Abnormal axial skeleton morphology,4131,MAP1B
HP:0009121,Abnormal axial skeleton morphology,23327,NEDD4L
HP:0009121,Abnormal axial skeleton morphology,160418,TMTC3
HP:0009121,Abnormal axial skeleton morphology,10564,ARFGEF2
HP:0009121,Abnormal axial skeleton morphology,55780,ERMARD
HP:0009121,Abnormal axial skeleton morphology,55768,NGLY1
HP:0009121,Abnormal axial skeleton morphology,57167,SALL4
HP:0009121,Abnormal axial skeleton morphology,5934,RBL2
HP:0009121,Abnormal axial skeleton morphology,10013,HDAC6
HP:0009121,Abnormal axial skeleton morphology,60386,SLC25A19
HP:0009121,Abnormal axial skeleton morphology,63901,FAM111A
HP:0009121,Abnormal axial skeleton morphology,63901,FAM111A
HP:0009121,Abnormal axial skeleton morphology,9326,ZNHIT3
HP:0009121,Abnormal axial skeleton morphology,10210,TOPORS
HP:0009121,Abnormal axial skeleton morphology,57192,MCOLN1
HP:0009121,Abnormal axial skeleton morphology,57187,THOC2
HP:0009121,Abnormal axial skeleton morphology,28962,OSTM1
HP:0009121,Abnormal axial skeleton morphology,3590,IL11RA
HP:0009121,Abnormal axial skeleton morphology,1795,DOCK3
HP:0009121,Abnormal axial skeleton morphology,55331,ACER3
HP:0009121,Abnormal axial skeleton morphology,84701,COX4I2
HP:0009121,Abnormal axial skeleton morphology,55315,SLC29A3
HP:0009121,Abnormal axial skeleton morphology,7507,XPA
HP:0009121,Abnormal axial skeleton morphology,7508,XPC
HP:0009121,Abnormal axial skeleton morphology,1643,DDB2
HP:0009121,Abnormal axial skeleton morphology,23187,PHLDB1
HP:0009121,Abnormal axial skeleton morphology,25886,POC1A
HP:0009121,Abnormal axial skeleton morphology,8626,TP63
HP:0009121,Abnormal axial skeleton morphology,22943,DKK1
HP:0009121,Abnormal axial skeleton morphology,53335,BCL11A
HP:0009121,Abnormal axial skeleton morphology,4509,MT-ATP8
HP:0009121,Abnormal axial skeleton morphology,4567,MT-TL1
HP:0009121,Abnormal axial skeleton morphology,3373,HYAL1
HP:0009121,Abnormal axial skeleton morphology,3170,FOXA2
HP:0009121,Abnormal axial skeleton morphology,5015,OTX2
HP:0009121,Abnormal axial skeleton morphology,4633,MYL2
HP:0009121,Abnormal axial skeleton morphology,3679,ITGA7
HP:0009121,Abnormal axial skeleton morphology,7169,TPM2
HP:0009121,Abnormal axial skeleton morphology,9200,HACD1
HP:0009121,Abnormal axial skeleton morphology,51776,MAP3K20
HP:0009121,Abnormal axial skeleton morphology,7443,VRK1
HP:0009121,Abnormal axial skeleton morphology,3908,LAMA2
HP:0009121,Abnormal axial skeleton morphology,79644,SRD5A3
HP:0009121,Abnormal axial skeleton morphology,5979,RET
HP:0009121,Abnormal axial skeleton morphology,8516,ITGA8
HP:0009121,Abnormal axial skeleton morphology,26281,FGF20
HP:0009121,Abnormal axial skeleton morphology,2674,GFRA1
HP:0009121,Abnormal axial skeleton morphology,7484,WNT9B
HP:0009121,Abnormal axial skeleton morphology,80000,GREB1L
HP:0009121,Abnormal axial skeleton morphology,3239,HOXD13
HP:0009121,Abnormal axial skeleton morphology,5500,PPP1CB
HP:0009121,Abnormal axial skeleton morphology,100151683,RNU4ATAC
HP:0009121,Abnormal axial skeleton morphology,79693,YRDC
HP:0009121,Abnormal axial skeleton morphology,51002,TPRKB
HP:0009121,Abnormal axial skeleton morphology,84942,WDR73
HP:0009121,Abnormal axial skeleton morphology,55644,OSGEP
HP:0009121,Abnormal axial skeleton morphology,57122,NUP107
HP:0009121,Abnormal axial skeleton morphology,10785,WDR4
HP:0009121,Abnormal axial skeleton morphology,55746,NUP133
HP:0009121,Abnormal axial skeleton morphology,84520,GON7
HP:0009121,Abnormal axial skeleton morphology,112858,TP53RK
HP:0009121,Abnormal axial skeleton morphology,8270,LAGE3
HP:0009121,Abnormal axial skeleton morphology,4921,DDR2
HP:0009121,Abnormal axial skeleton morphology,3572,IL6ST
HP:0009121,Abnormal axial skeleton morphology,388015,RTL1
HP:0009121,Abnormal axial skeleton morphology,388015,RTL1
HP:0009121,Abnormal axial skeleton morphology,388015,RTL1
HP:0009121,Abnormal axial skeleton morphology,8788,DLK1
HP:0009121,Abnormal axial skeleton morphology,8788,DLK1
HP:0009121,Abnormal axial skeleton morphology,8788,DLK1
HP:0009121,Abnormal axial skeleton morphology,55384,MEG3
HP:0009121,Abnormal axial skeleton morphology,55384,MEG3
HP:0009121,Abnormal axial skeleton morphology,55384,MEG3
HP:0009121,Abnormal axial skeleton morphology,6628,SNRPB
HP:0009121,Abnormal axial skeleton morphology,4593,MUSK
HP:0009121,Abnormal axial skeleton morphology,28981,IFT81
HP:0009121,Abnormal axial skeleton morphology,65992,DDRGK1
HP:0009121,Abnormal axial skeleton morphology,2629,GBA1
HP:0009121,Abnormal axial skeleton morphology,4148,MATN3
HP:0009121,Abnormal axial skeleton morphology,4148,MATN3
HP:0009121,Abnormal axial skeleton morphology,79848,CSPP1
HP:0009121,Abnormal axial skeleton morphology,9786,KIAA0586
HP:0009121,Abnormal axial skeleton morphology,112752,IFT43
HP:0009121,Abnormal axial skeleton morphology,202018,TAPT1
HP:0009121,Abnormal axial skeleton morphology,6662,SOX9
HP:0009121,Abnormal axial skeleton morphology,23169,SLC35D1
HP:0009121,Abnormal axial skeleton morphology,56975,FAM20C
HP:0009121,Abnormal axial skeleton morphology,3339,HSPG2
HP:0009121,Abnormal axial skeleton morphology,10020,GNE
HP:0009121,Abnormal axial skeleton morphology,84068,SLC10A7
HP:0009121,Abnormal axial skeleton morphology,1277,COL1A1
HP:0009121,Abnormal axial skeleton morphology,1278,COL1A2
HP:0009121,Abnormal axial skeleton morphology,1302,COL11A2
HP:0009121,Abnormal axial skeleton morphology,3295,HSD17B4
HP:0009121,Abnormal axial skeleton morphology,6329,SCN4A
HP:0009121,Abnormal axial skeleton morphology,1301,COL11A1
HP:0009121,Abnormal axial skeleton morphology,5277,PIGA
HP:0009121,Abnormal axial skeleton morphology,871,SERPINH1
HP:0009121,Abnormal axial skeleton morphology,1909,EDNRA
HP:0009121,Abnormal axial skeleton morphology,7280,TUBB2A
HP:0009121,Abnormal axial skeleton morphology,9365,KL
HP:0009121,Abnormal axial skeleton morphology,1509,CTSD
HP:0009121,Abnormal axial skeleton morphology,4762,NEUROG1
HP:0009121,Abnormal axial skeleton morphology,23067,SETD1B
HP:0009121,Abnormal axial skeleton morphology,124512,METTL23
HP:0009121,Abnormal axial skeleton morphology,83700,JAM3
HP:0009121,Abnormal axial skeleton morphology,53616,ADAM22
HP:0009121,Abnormal axial skeleton morphology,6571,SLC18A2
HP:0009121,Abnormal axial skeleton morphology,55610,VPS50
HP:0009121,Abnormal axial skeleton morphology,9915,ARNT2
HP:0009121,Abnormal axial skeleton morphology,271,AMPD2
HP:0009121,Abnormal axial skeleton morphology,22796,COG2
HP:0009121,Abnormal axial skeleton morphology,22796,COG2
HP:0009121,Abnormal axial skeleton morphology,9512,PMPCB
HP:0009121,Abnormal axial skeleton morphology,54675,CRLS1
HP:0009121,Abnormal axial skeleton morphology,22845,DOLK
HP:0009121,Abnormal axial skeleton morphology,8604,SLC25A12
HP:0009121,Abnormal axial skeleton morphology,10087,CERT1
HP:0009121,Abnormal axial skeleton morphology,22884,WDR37
HP:0009121,Abnormal axial skeleton morphology,2903,GRIN2A
HP:0009121,Abnormal axial skeleton morphology,11212,PLPBP
HP:0009121,Abnormal axial skeleton morphology,51501,HIKESHI
HP:0009121,Abnormal axial skeleton morphology,56947,MFF
HP:0009121,Abnormal axial skeleton morphology,56947,MFF
HP:0009121,Abnormal axial skeleton morphology,539,ATP5PO
HP:0009121,Abnormal axial skeleton morphology,9440,MED17
HP:0009121,Abnormal axial skeleton morphology,5538,PPT1
HP:0009121,Abnormal axial skeleton morphology,125988,MICOS13
HP:0009121,Abnormal axial skeleton morphology,1719,DHFR
HP:0009121,Abnormal axial skeleton morphology,10079,ATP9A
HP:0009121,Abnormal axial skeleton morphology,205327,C2orf69
HP:0009121,Abnormal axial skeleton morphology,51693,TRAPPC2L
HP:0009121,Abnormal axial skeleton morphology,57017,COQ9
HP:0009121,Abnormal axial skeleton morphology,27429,HTRA2
HP:0009121,Abnormal axial skeleton morphology,55770,EXOC2
HP:0009121,Abnormal axial skeleton morphology,58499,ZNF462
HP:0009121,Abnormal axial skeleton morphology,58499,ZNF462
HP:0009121,Abnormal axial skeleton morphology,3767,KCNJ11
HP:0009121,Abnormal axial skeleton morphology,3767,KCNJ11
HP:0009121,Abnormal axial skeleton morphology,3767,KCNJ11
HP:0009121,Abnormal axial skeleton morphology,6833,ABCC8
HP:0009121,Abnormal axial skeleton morphology,6833,ABCC8
HP:0009121,Abnormal axial skeleton morphology,2645,GCK
HP:0009121,Abnormal axial skeleton morphology,3651,PDX1
HP:0009121,Abnormal axial skeleton morphology,3630,INS
HP:0009121,Abnormal axial skeleton morphology,5058,PAK1
HP:0009121,Abnormal axial skeleton morphology,116931,MED12L
HP:0009121,Abnormal axial skeleton morphology,29893,PSMC3IP
HP:0009121,Abnormal axial skeleton morphology,171568,POLR3H
HP:0009121,Abnormal axial skeleton morphology,2516,NR5A1
HP:0009121,Abnormal axial skeleton morphology,125150,ZSWIM7
HP:0009121,Abnormal axial skeleton morphology,9210,BMP15
HP:0009121,Abnormal axial skeleton morphology,23514,SPIDR
HP:0009121,Abnormal axial skeleton morphology,2492,FSHR
HP:0009121,Abnormal axial skeleton morphology,56945,MRPS22
HP:0009121,Abnormal axial skeleton morphology,646,BNC1
